component_id,confidence_score
391,0.2
602,0.4
2270,0.4
2328,0.4
2542,0.8
2298,0.4
2562,0.4
2451,0.4
2257,0.2
2262,0.4
2263,0.4
76,0.2
2590,1.0
1856,0.2
2355,0.4
2518,1.0
2564,0.4
1570,0.4
2420,0.4
241,0.2
2462,0.4
2605,0.4
379,0.2
1099,0.2
2587,1.0
2571,0.4
2462,0.4
2257,0.2
2424,0.2
824,0.2
758,0.2
459,0.2
1748,0.2
112,0.2
2483,0.4
2495,0.8
393,0.2
2577,1.0
2527,0.4
1804,0.2
2586,0.6
2596,1.0
1804,0.2
2570,0.8
2380,0.8
1656,0.2
2106,0.6
2355,0.4
2406,0.2
2474,0.4
313,0.4
1656,0.2
835,0.2
2477,0.4
1484,0.2
2540,0.8
2448,0.4
31,0.2
1377,0.2
1843,0.4
2492,0.4
2331,0.2
2424,0.2
1980,1.0
2434,0.6
2610,0.6
2364,0.4
2434,0.6
1570,0.6
567,0.2
2378,0.8
2578,1.0
313,0.6
1926,0.4
2406,0.8
1714,0.2
112,0.2
1716,0.2
2416,0.4
80,0.2
2597,0.8
2405,0.4
2515,0.8
2604,0.4
2384,0.4
651,0.2
824,0.4
2364,0.6
692,0.2
2607,0.4
2559,0.6
1857,0.2
250,0.2
2607,0.6
391,0.2
2543,0.8
2363,0.4
15,0.4
2460,0.2
2528,0.6
2504,0.6
2364,0.4
2537,0.4
2331,0.2
2462,0.4
554,0.4
1986,0.4
1656,0.2
2597,0.8
15,0.4
1954,0.6
2609,0.4
2425,0.4
2542,0.6
2590,0.6
1711,0.2
1975,0.4
2313,0.6
2451,0.6
2434,0.6
2513,0.6
2106,0.4
2424,0.6
212,0.2
2496,0.8
459,0.2
2564,0.6
802,0.2
2475,0.4
2609,0.4
2573,0.4
1981,0.2
2562,0.4
2527,0.8
1328,0.2
2523,0.4
1975,0.4
2278,0.2
2451,1.0
2330,0.4
2483,0.4
602,0.4
2527,0.4
2576,0.6
2257,0.2
2542,0.4
249,0.2
2103,0.6
2577,0.8
2339,0.6
1546,0.2
458,0.4
2521,0.4
2400,0.6
2257,0.2
1308,0.2
2564,0.6
63,0.4
2577,0.6
1670,0.4
111,0.6
2576,0.4
2548,0.4
2405,0.8
497,0.4
437,0.2
2548,0.6
2537,0.4
2596,0.6
2328,0.4
2522,0.6
2257,0.4
835,0.2
1484,0.4
2425,0.4
1253,0.2
2302,0.2
2517,0.4
602,0.4
2419,0.6
458,0.2
1716,0.2
2425,0.4
2536,0.6
1656,0.2
1843,0.4
2396,0.4
828,0.2
2430,0.4
1253,0.2
1984,0.2
771,0.4
2540,0.6
2424,0.6
2577,0.6
2609,0.4
195,0.2
2515,0.8
2564,0.6
2523,0.4
2424,0.4
2483,0.4
2593,0.8
535,0.2
828,0.2
2355,0.8
2554,0.6
2484,0.6
2424,0.2
1770,0.2
500,0.2
2178,0.6
2302,0.2
2527,0.4
2431,0.4
2513,0.6
459,0.2
241,0.2
2484,0.6
2123,0.2
2508,0.4
2419,0.6
2521,0.4
459,0.2
536,0.2
1857,0.2
2378,0.8
2421,0.2
456,0.2
1656,0.2
2518,0.4
2540,0.4
607,0.2
2596,0.6
2515,0.4
1570,0.2
459,0.2
2172,0.4
2357,0.2
2536,0.6
2194,0.2
2569,0.4
2590,0.4
162,0.2
1775,0.2
2553,0.4
2425,0.2
2094,0.6
2533,0.4
1975,0.2
2460,0.2
2532,0.4
497,0.4
2541,0.4
2496,1.0
456,0.2
536,0.2
195,0.2
1976,0.2
1656,0.2
76,0.2
2539,0.4
2499,0.6
2598,0.8
641,0.4
2592,0.6
2527,0.4
249,0.4
2492,0.4
2497,0.8
2548,0.6
2462,0.4
2403,0.4
2585,0.4
2461,0.2
2384,0.2
1711,0.4
2357,0.4
1856,0.2
2609,0.4
1975,0.2
391,0.2
2597,1.0
2577,0.4
2480,0.4
824,0.4
